GeneSymbol	GSM3374350_response	GSM3374352_response	GSM3374356_response	GSM3374362_response	GSM3374366_response	GSM3374368_response	GSM3374369_response	GSM3374370_response	GSM3374386_response	GSM3374396_response	GSM3374401_response	GSM3374412_response	GSM3374413_response	GSM3374414_response	GSM3374415_response	GSM3374353_non	GSM3374354_non	GSM3374355_non	GSM3374357_non	GSM3374358_non	GSM3374359_non	GSM3374360_non	GSM3374361_non	GSM3374363_non	GSM3374364_non	GSM3374365_non	GSM3374367_non	GSM3374371_non	GSM3374372_non	GSM3374373_non	GSM3374374_non	GSM3374375_non	GSM3374376_non	GSM3374377_non	GSM3374378_non	GSM3374379_non	GSM3374380_non	GSM3374381_non	GSM3374382_non	GSM3374384_non	GSM3374387_non	GSM3374388_non	GSM3374392_non	GSM3374394_non	GSM3374398_non	GSM3374400_non	GSM3374402_non	GSM3374403_non	GSM3374404_non	GSM3374405_non	GSM3374406_non	GSM3374407_non	GSM3374408_non	GSM3374409_non	GSM3374410_non	GSM3374411_non
NEXN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CLEC12A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAMT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNH8	55.9964132580334	63.1707392832421	65.6620867231917	34.7391562609253	64.8793656695849	51.1538779768269	59.6593140175777	44.3112626195104	62.984413475413	51.6083062808755	46.07265244969	61.351881877797	45.9277313683642	35.4134708306479	48.1355836032653	57.6316189564367	39.6467104859684	54.4237683630164	55.3698030413621	63.8474811044176	62.5279265701063	39.3674223953044	41.2142119778785	61.3083714539525	38.8127182997783	65.1726538625981	35.4375973060013	63.1099110508181	58.2343840568113	49.2652197145807	42.7723909212415	50.0408047889655	50.9142771509555	44.9757087383651	47.4269547793759	47.2375246534397	37.7414893002682	44.0296740600194	61.547972279824	44.8738981171976	38.0858127377408	45.6023189550364	43.1298918858663	57.8210490823729	47.8402897538143	50.9577875748	53.1664852242385	43.3915832615079	35.2743226854243	49.2720838377078	37.2480693420327	43.1770695484718	64.1416577337038	33.7802100121177	28.6685806578097	45.1332505639224
SIGLEC10	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761	311.449877160761
PTPRM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LOC284926	357.316126454691	313.308465365742	298.433679573102	243.08152776967	285.692089343553	292.736501369402	381.058296551263	403.395507830374	341.815392146799	383.403286437418	333.584907293318	368.847250884508	311.998563757542	270.769306238321	338.744117074871	296.535473447999	258.6558418813	292.585668143729	373.614764350748	272.199440817253	357.286582784216	235.944988770564	304.293438549124	331.550899983095	335.40199305627	312.043588413869	353.93984031326	356.081993928688	291.429864262234	316.604812409696	311.561423734426	367.017768874269	408.959045429987	334.569741049042	412.753457628929	415.556040906465	373.492176538812	422.99957310698	375.526183849035	367.133861608063	410.289362592204	361.454231274656	399.257403010409	310.295489045454	292.324355467563	262.841622004978	376.685135800897	425.344562993136	382.620613337727	334.743859245179	338.476750003716	334.677777925119	340.37495612882	260.744493045877	410.788527440225	383.756668702516
LINC00528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM201A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM111B	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704	153.74234783704
