ID	S01_MM	S02_MM	S03_MM	S04_MM	S05_MM	S06_MM	S07_MM	S08_MM	S09_MM	S01_Den	S02_Den	S03_Den	S04_Den	S05_Den	S06_Den	S07_Den	S08_Den	S01_PMN	S02_PMN	S03_PMN
GSM3374363_non	0.418542302	0.111647459	0.047213232	6.19E-15	0.055686733	0.007356753	0.019138797	6.19E-15	0.065421062	0.397646101	7.37E-12	0.013851421	0.024208972	0.048558523	0.062550965	0.003502509	0.001127857	0.302911877	0.237273462	0.137498721
GSM3374364_non	2.39E-13	0.073420247	8.85E-15	0.009124809	0.044093772	0.091010044	0.117329598	0.048761397	0.027124347	0.028724159	0.015505198	1.28E-14	0.110554046	0.06411881	0.029110083	0.133673257	0.060709844	0.145920352	0.146833216	0.277739088
GSM3374365_non	0.087286935	0.086256206	0.029713782	0.057798761	0.026203943	0.015024397	0.192740602	6.58E-15	0.173564708	0.109297741	0.013574027	0.088333383	0.061554949	0.018465278	0.033479621	0.062258695	0.002781405	0.391040866	0.11367648	0.11173336
GSM3374367_non	3.19E-12	1.01E-14	0.007768225	0.005559011	0.0028753	0.008476061	0.134902412	0.266938412	1.01E-14	0.004217615	1.51E-14	0.023717921	0.000682882	0.004098449	0.018332251	0.064345027	0.076427652	0.02308379	1.42E-14	0.068726951
GSM3374371_non	0.027580934	0.074456378	8.07E-15	0.009614982	0.014833008	0.013733569	0.20750356	0.081117572	0.137354048	0.014220277	8.41E-15	0.077190182	0.031307162	0.011958672	0.085234095	0.06496258	0.021535575	0.248175767	5.40E-12	0.159292112
GSM3374372_non	0.02690659	0.058556454	1.43E-07	0.013977938	0.0235996	0.029821259	0.19693856	0.080737928	0.142014986	0.009058282	9.20E-15	0.040930098	0.046842713	0.021528221	0.029321615	0.023861209	0.024569379	0.320897777	0.134551145	0.115776961
GSM3374373_non	0.007125043	0.052758196	6.39E-15	0.002765544	0.008038268	6.39E-15	0.242757514	0.027217962	0.120475349	0.001070616	0.002698371	0.022876494	0.016203341	0.00343345	0.023659873	0.021992107	7.32E-15	0.327626976	0.058628397	0.058183964
GSM3374374_non	0.02473242	0.007601873	0.02805076	0.009141008	0.001937329	0.002232107	0.158562707	0.08811241	0.159951773	0.010555733	1.07E-14	0.039884545	0.043310604	1.07E-14	0.02609449	0.030418289	0.03319187	0.298492152	0.029258225	0.075291593
GSM3374375_non	0.137246124	0.103345514	0.019419956	0.007802817	0.015869829	0.000954786	0.147919677	0.04634618	0.146638653	0.125546031	1.17E-14	0.041076659	0.07460128	0.01405655	0.032316106	0.000713984	0.019484593	0.299929045	0.102266772	0.039987986
GSM3374376_non	0.009644572	0.005236848	1.17E-09	0.06866015	0.008403163	0.071580875	0.277775632	0.091387314	0.131744192	8.93E-15	0.016107584	0.06041826	0.050499397	0.025322921	0.02064286	0.090797928	0.07281337	0.265739115	0.070392403	0.269964938
GSM3374377_non	0.03356402	0.035925134	0.002697736	0.022374889	0.007902923	0.00127548	0.249648461	0.023526969	0.194431468	0.037253736	6.56E-15	0.031832488	0.039514106	6.56E-15	0.013295602	0.016372518	6.56E-15	0.420488106	0.078209562	0.031881005
GSM3374378_non	0.174002975	0.08689789	0.044713005	0.019280349	0.029294299	0.004378298	0.140977574	0.014449168	0.155177652	0.140396787	0.008486654	0.034995733	0.026275764	0.037131168	0.080696659	0.056004519	0.029890897	0.143424028	0.190660684	0.156549487
GSM3374379_non	8.68E-15	0.035633265	8.68E-15	0.019603775	0.003155004	0.072327954	0.089549192	0.087303917	0.049680635	0.018786214	0.009193935	1.20E-14	0.074082157	0.015902211	0.007252863	0.105978339	0.063845341	0.062445008	0.045865417	0.244274953
GSM3374380_non	0.067518606	0.01459257	0.205245607	0.113445618	0.043226089	0.012021872	0.267544741	0.044882223	0.066401873	0.150140714	0.051532556	0.091599881	0.052971322	0.020903532	0.019055314	0.107686151	0.066088899	0.205875335	0.17395255	0.305847161
GSM3374381_non	0.054404399	0.03017061	0.038107685	7.20E-15	0.108812841	0.008097066	0.001166191	0.198721762	0.024920388	0.013030086	1.23E-14	0.026450425	0.003997466	0.150153737	1.23E-14	0.002366679	0.019619525	0.008755251	0.271061949	0.085221696
GSM3374382_non	0.091960247	8.05E-15	0.028568971	0.015788542	0.084040698	0.08011274	0.01487159	0.224312706	0.014981524	0.050500889	1.19E-14	0.02297372	0.002050027	0.122144832	0.030801247	0.083793516	0.05740334	1.04E-14	0.198523899	0.201548359
GSM3374384_non	7.30E-05	4.27E-11	0.055875062	6.53E-10	0.020954499	6.85E-15	0.116658982	0.252801699	0.109315822	4.06E-11	9.61E-15	0.016415344	0.057103606	0.024993801	0.026507558	0.018033084	9.61E-15	0.198300028	0.049515817	0.020321906
GSM3374387_non	0.051267343	7.57E-15	0.058188506	0.027702918	0.016564196	0.017636893	0.099260458	0.309223382	0.03346364	0.052396951	0.003632856	1.33E-14	0.000927352	0.044376547	0.002085885	0.06333336	0.026649602	0.026035111	0.073793877	0.119732711
GSM3374388_non	0.044323725	0.019072585	0.076667869	0.272991666	0.091799554	0.326484118	0.015057222	0.037909917	0.048098797	0.007985953	0.190989801	0.006012384	0.013151614	0.119744336	3.10E-08	0.084385233	0.278779595	7.21E-15	0.148696335	0.654287548
GSM3374392_non	0.009532933	0.000442346	0.010899666	8.42E-15	8.42E-15	0.02284984	0.164849057	0.144336532	0.017181529	0.010971921	1.50E-14	0.016478341	0.104639997	0.008177195	1.50E-14	0.058449043	0.038607035	0.221904782	0.037448305	0.118779285
GSM3374394_non	0.05041592	0.018377041	3.11E-07	0.000281006	0.058865978	9.08E-15	0.063227013	0.055518589	0.094418469	0.028032059	1.45E-14	0.025862183	0.054799431	0.07274142	0.011763806	0.052614213	1.45E-14	0.059171316	0.295770379	0.028030992
GSM3374398_non	0.021467442	0.001222551	0.01422585	0.003371553	0.001666171	8.22E-15	0.032725825	0.241252389	0.036464561	0.000405212	1.60E-14	0.033310478	0.005491178	0.027188688	0.001212105	0.001893533	1.60E-14	1.31E-14	0.03034219	0.049320108
GSM3374400_non	0.009417949	0.004656983	0.052037111	0.057025083	0.036895504	9.80E-15	0.239393323	0.23207819	0.019747686	0.049297804	1.44E-14	0.022057861	0.070528108	0.019610008	0.021816112	0.101061332	0.022625606	0.191318052	0.109656677	0.147903504
GSM3374402_non	1.01E-14	1.01E-14	0.048655522	0.031246685	0.016310258	0.054479312	0.17060235	0.060042843	0.126682792	1.12E-14	0.009060806	0.066095658	0.034240379	0.002842096	0.00678984	0.034598212	0.00321039	0.324775207	0.063355949	0.215101961
GSM3374403_non	1.06E-14	1.06E-14	0.031634029	0.038520894	0.009538374	0.063441455	0.134191818	0.099263837	0.149871732	1.35E-14	0.00216341	0.071343639	0.04096171	0.005643248	0.013189982	0.03464686	0.010442253	0.306158724	0.10214743	0.165010461
GSM3374404_non	0.064635985	8.65E-15	8.65E-15	0.000376396	0.010605729	8.65E-15	0.004214296	0.111983776	0.088805085	0.054200712	1.34E-14	0.030646197	0.035294405	0.010208232	0.036560936	1.34E-14	0.011576429	0.111221797	0.09753121	0.027896202
GSM3374405_non	0.270046501	0.137031816	0.036117565	0.032962069	0.109518629	0.142637567	0.0024503	0.015575316	0.031766163	0.246321454	0.03347571	3.22E-07	0.018025531	0.115713799	0.037637391	0.005680566	0.066822921	0.22383126	0.284002059	0.204017909
GSM3374406_non	0.179342596	0.028673591	0.001388111	8.67E-15	0.151987996	0.002599977	0.008340454	0.03472469	0.133463352	0.135541541	0.002647648	1.25E-14	1.25E-14	0.102151135	0.062426915	0.007358593	0.014654214	0.154412731	0.331416147	0.067119733
GSM3374407_non	0.238510202	0.040815782	0.047733303	3.05E-10	0.081154715	0.068161785	0.000132063	0.068477401	0.039287441	0.209992849	0.01397656	0.041829512	1.43E-14	0.050928273	0.049800902	1.43E-14	0.020887206	0.17929608	0.135876965	0.124264131
GSM3374408_non	0.134868584	0.051925228	0.001310115	0.377678635	0.136668255	0.168839696	0.066564749	4.72E-15	0.012053599	0.077489436	0.241137051	0.042399706	0.018034178	0.116321442	7.45E-15	0.078932988	0.151649679	0.102940077	0.132672862	0.613266743
GSM3374409_non	0.072535084	0.006924445	0.02801345	8.59E-15	8.59E-15	0.014295026	0.159309694	0.074404137	0.179219332	0.063161377	9.87E-15	0.066724847	0.059578228	9.87E-15	0.010844587	0.033461354	0.000473793	0.235601022	0.107251529	0.086153067
GSM3374410_non	0.175505435	8.34E-15	0.057440921	0.034205305	0.112326051	0.163531384	0.118592301	0.064745129	0.018628265	0.168305877	0.022163447	0.036668513	0.007548831	0.062511016	0.039393746	0.048789307	0.092192415	0.257286423	0.233243085	0.311357727
GSM3374411_non	0.16119793	0.053366833	9.05E-15	9.05E-15	0.177136394	0.026969614	0.036898876	0.050428185	0.042940582	0.144865654	1.25E-14	0.002864193	0.034126292	0.130176221	0.042594127	1.25E-14	0.018259437	0.176631487	0.358559409	0.02785476
