"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"GSM3374350_response"	0.164704896012889	0.18547057789554	0.107397952514568	0.119931819988291	0.118971876284787	0.0754545938639155	0.0749194529431531	0.0770930365654711	0.047554047384168	0.0285017465472169
"GSM3374352_response"	0.082931537683618	0.0533538481189413	0.0821336287089025	0.100695163469329	0.11929362478587	0.225737568698638	0.0653881954494411	0.0818229630782971	0.0763345902046446	0.11230887980232
"GSM3374356_response"	0.088630290221422	0.107959187508713	0.0715244359558876	0.137194695521684	0.110645421470517	0.082703258312558	0.102719569923196	0.109513868808126	0.120297695747494	0.0688115765304034
"GSM3374362_response"	0.179157304207165	0.111737801404291	0.0323296744435624	0.0548376015276977	0.0742198221621669	0.00969725861107732	0.0857799376260267	0.0751632983108955	0.347579802121184	0.0294974995859337
"GSM3374366_response"	0.226002020951717	0.00955895287249975	0.0342623955007321	0.0268805798361021	0.0312678827981261	0.273516999260507	0.0199547554356579	0.0365266967283547	0.154667732332524	0.187361984283778
"GSM3374368_response"	0.202865635867724	0.045183474136588	0.0505803005859178	0.0223337126559449	0.0227326073672225	0.140130632244333	0.0621998415851541	0.0199700479559617	0.246299936308129	0.187703811293024
"GSM3374369_response"	0.0807497932105256	0.112361189685217	0.0821325257450802	0.146111542589927	0.142769333037253	0.0716791345872876	0.00720751371332913	0.0624715049087879	0.130019304889129	0.164498157633464
"GSM3374370_response"	0.00924111793945796	0.197552810629638	0.0331500774082755	0.191152962459461	0.191022805484791	0.0204609621806914	0.0952014956206335	0.234512864083174	0.0186029197711026	0.00910198442277508
"GSM3374386_response"	0.319108350338308	0.0220216364107804	0.275768611509142	0.0107608296703664	0.00550662857290962	0.204107458462276	0.0437120414009488	0.0160679820186992	0.071911725468172	0.0310347361483967
"GSM3374396_response"	0.103974510807259	0.0013771407516635	0.0214525961133545	0.0700070502287164	0.0536867366672725	0.300340025287645	0.11623427536224	0.0998275236587547	0.100501610448618	0.132598530674476
"GSM3374401_response"	0.0978876501612662	0.102061374911472	2.54706612914227e-14	0.129873119650576	0.111309242767699	0.161326509022636	0.123467798225647	0.180189128625481	0.0287583425553187	0.0651268340798787
"GSM3374412_response"	0.248179509290154	0.0749145157756973	0.0804103404005655	0.0454864403625756	0.0501943591673621	0.209865751185461	0.0639826773268696	0.0609177461222718	0.0273990196427069	0.138649640726336
"GSM3374413_response"	0.302179926636304	0.0402893777014318	0.0629610770730746	0.045969896033428	0.0383984352341657	0.198469502274805	0.0469879389020102	0.0888932323289911	0.0557171124387295	0.12013350137706
"GSM3374414_response"	0.0559611734418654	0.169734946049074	0.0815418237724771	0.147717921000658	0.145995419638401	0.0216462542155811	0.0500830465555423	0.168727484400971	0.123873218346974	0.0347187125784552
"GSM3374415_response"	0.109594989949081	0.126537045504468	0.0327761116248534	0.0778460214654937	0.0785775757479225	0.04138384741839	0.264739521114217	0.225572332632904	0.0254914727330403	0.0174810818096304
"GSM3374353_non"	0.0573029459146932	0.0575856011524749	0.0596858819077867	0.0836888984787609	0.12625441658481	0.175381325059422	0.0705020372985877	0.0777284945376229	0.0972569785684804	0.194613420497361
"GSM3374354_non"	0.220945553247366	0.130772623727018	0.192868395561589	0.0782185351066349	0.0652017618304023	0.0528147485366081	0.0308037303500459	0.0381689607676389	0.155661098106032	0.0345445927666647
"GSM3374355_non"	0.0945044089163496	0.0322878066728	0.0655953301071378	0.053147792003072	0.0995235081736817	0.311231569815338	0.0754001349517961	0.0799828824007785	0.0690759302063507	0.119250636752695
"GSM3374357_non"	0.0136314233546605	0.132502456910512	0.0310054854056644	0.258077987498113	0.197136514988796	0.0942330561851262	0.0209792589499324	0.223700013336168	0.00905986464151992	0.019673938729507
"GSM3374358_non"	0.174369008287906	0.0780669321550279	0.0718009066237483	0.123812914236715	0.113607814850325	0.28727561654617	0.0104320458305938	0.0720469454754447	0.0411810464935413	0.0274067695005281
"GSM3374359_non"	0.00368058047497707	0.069619869382623	0.0190991049398001	0.267778902082715	0.181932074212396	0.0988889538138702	0.0418923136832396	0.240680331826023	0.0196720116240399	0.0567558579603162
"GSM3374360_non"	0.119050038444254	0.136318395024632	0.0234348105671763	0.130246743488776	0.125844553769533	0.06428069082406	0.167339126329895	0.208364280167722	0.0239755100689813	0.0011458513149711
"GSM3374361_non"	0.0294583501185946	0.156528532819044	0.0279747437254879	0.245163940758069	0.222591821844456	0.0581151701893365	0.00229067353658689	0.145831520204281	0.0507136523006242	0.0613315945035197
