"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"GSM3374350_response"	0.0364747785552335	0.0991350113123586	0.0668256365372697	0.0272693264327475	0.0406311433332603
"GSM3374352_response"	0.0809808088441536	0.120031187093455	0.198917603389058	0.048947039769987	0.179560314090757
"GSM3374356_response"	0.0507697194170053	0.0793827021390547	0.0356097969310122	0.0862355435513932	0.243193762014292
"GSM3374362_response"	1.22758719628726e-14	0.120747069519899	0.0141962656579654	0.0443598102693132	0.177742491548221
"GSM3374366_response"	0.154025880616102	0.0430840404585996	0.198421300623043	0.0355375088373981	0.351093586918003
"GSM3374368_response"	0.283079398387581	0.0212486809465079	0.0981451831052915	0.0393470740721415	0.323302684194202
"GSM3374369_response"	0.284235317831916	0.124217871917054	0.0831645832382072	0.0148137222601405	0.2329897259501
"GSM3374370_response"	8.79709951802205e-15	0.147931232194672	0.0235031389446099	0.214975416784874	0.00114862987464386
"GSM3374386_response"	6.47162105179031e-15	0.0121883908585169	0.268015638118835	0.0365549360521848	0.149082996092189
"GSM3374396_response"	0.137648246330768	0.0729153950915278	0.181134569661638	0.0893115500259997	0.231051958055923
"GSM3374401_response"	0.0532261710279298	0.0481176214539855	0.0623716764559187	0.0846402230541051	0.0311064057217416
"GSM3374412_response"	0.283019875615749	0.0898885399291889	0.263116446954806	0.050683971481305	0.139079524317871
"GSM3374413_response"	0.208204970621972	0.0516795628384869	0.196397831358207	0.024713449403509	0.167678253940554
"GSM3374414_response"	0.000655079524935539	0.146018385108654	0.0626007978087515	0.115262516328249	0.0981846503916699
"GSM3374415_response"	1.32642805799258e-14	0.0512790208166011	8.10948627018189e-05	0.101713583930412	0.0366658791251311
"GSM3374353_non"	0.23446764632056	0.138697755322103	0.0855128590711423	0.0142641093877144	0.285702792407876
"GSM3374354_non"	0.0108547849513402	0.0968492626647283	0.138479110555777	0.0927615937337657	0.268976757053495
"GSM3374355_non"	0.107159833240368	0.168505541551274	0.226891441737439	0.0790778660757498	0.191096703090153
"GSM3374357_non"	0.00240243368731491	0.177093436353341	0.0542392003981714	0.158430017497689	5.77376944900176e-13
"GSM3374358_non"	1.15709938583101e-14	0.150255763800769	0.232342868663338	0.0565166822740126	0.015963140758856
"GSM3374359_non"	0.0309295450885166	0.102765639840796	0.0869130770224886	0.158178601766741	0.0154978395219035
"GSM3374360_non"	1.02980003862199e-14	0.0522113189314356	0.0289816635451174	0.0710509260665581	1.02980003862199e-14
"GSM3374361_non"	0.0307778951265857	0.260124295694525	0.156543974743113	0.10441631525811	0.0445192804596107
"GSM3374363_non"	0.460860634719914	0.0850060228866598	0.068904887227462	0.00985515257987766	0.295547664391251
