"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"GSM3374350_response"	0.356919370438446	1.47781042249512e-08	0.312928319784251	0.0399250116719805	0.13483023698437	0.0444257083699286
"GSM3374352_response"	0.125499487310925	0.263277876158395	0.0411093781035194	0.0553999642061613	0.312686138426747	0.0993213640282124
"GSM3374356_response"	0.197148216225447	0.0706843625634513	0.0595960119786139	0.221355456338981	0.143919446612817	0.240975995568185
"GSM3374362_response"	0.167272447179827	8.73470339811732e-15	0.16306450973009	0.364617222128318	0.0476456438863035	0.0188449563377491
"GSM3374366_response"	0.0063532671908011	0.540315661769826	0.185844597666613	0.0898844897742112	0.13706760648217	0.00355427994222735
"GSM3374368_response"	0.019484834173553	0.31169123139636	0.113991309693921	0.439851594087383	0.100680014862582	0.0142887700774625
"GSM3374369_response"	0.23968873480375	0.0912341797214149	0.110939508608664	0.163887303072426	0.18166731059355	1.34823758286273e-12
"GSM3374370_response"	0.240435718787134	8.88925156918279e-15	5.42439705678745e-06	8.88925156918279e-15	0.264317249875627	0.00678455725417621
"GSM3374386_response"	0.033808910282997	0.340336696832409	0.413101013245547	0.147653287635938	0.0237814761181962	0.0397132743536716
"GSM3374396_response"	0.00336618572074244	0.459069659920513	1.25358118702151e-14	0.0467170789371534	0.284418512411652	0.10323918163769
"GSM3374401_response"	0.082267189712561	0.101464046257744	0.0590466069085373	0.0853358153663051	0.353400275645731	0.145506243139316
"GSM3374412_response"	0.0467100650408464	0.400940684252484	0.257057639863718	1.13151573747913e-14	0.123569454423986	0.108625956144868
"GSM3374413_response"	0.0412636741662032	0.283792893195515	0.156568394894452	0.15428520194752	0.0859987896329487	0.258944817243309
"GSM3374414_response"	0.198824112420713	8.17798501065523e-15	0.0398581481076381	0.193660560372065	8.17798501065523e-15	0.0907011855837171
"GSM3374415_response"	0.0689700881980173	0.0287184056400155	0.0546267849762811	1.33876619092941e-14	0.122984491393129	0.282933184599431
"GSM3374353_non"	0.13235692027497	0.293592917757557	0.00895469701077849	0.0709534516352159	0.349973306043092	0.0707659896800297
"GSM3374354_non"	0.242459194199029	0.02563140316686	0.376375386099667	0.24954823911126	0.00195996914913969	0.0221688841093087
"GSM3374355_non"	0.0575299368386944	0.443047676253637	0.0952178857675247	0.0164947228129862	0.220347668903622	0.123809628882639
"GSM3374357_non"	0.150290251365027	0.0204920624606801	1.13189474480407e-14	1.13189474480407e-14	0.315455085568899	0.0323455343126591
"GSM3374358_non"	0.114878335896263	0.308794715519647	0.219786243939874	0.00165869694804286	0.248841700635656	0.0354104104679736
"GSM3374359_non"	0.0806802810493489	0.0927563299194286	8.67856170352319e-15	8.67856170352319e-15	0.342024072718528	0.0434589458486064
"GSM3374360_non"	0.106253536660703	0.017152702875983	0.12297210211662	0.0092428899716848	0.0332307945628902	0.36588614270452
"GSM3374361_non"	0.245156996656805	7.93910776073922e-15	0.0172713479488015	0.0441228744343734	0.0527980767382294	0.0293738965473289
"GSM3374363_non"	0.033614725789047	0.324212761618177	1.02139102932546e-14	0.173392598134431	0.198764521637149	0.0836851596330842
"GSM3374364_non"	0.141231730645185	1.62676154627013e-08	0.263275737976368	1.06926554851928e-14	0.0752689763885488	0.155294828844394
"GSM3374365_non"	0.348297373670471	0.0207211163605422	0.00231522805099595	0.102417822780979	0.299221442690012	9.23883104383392e-15
"GSM3374367_non"	0.047580770967533	1.2520536870582e-14	0.128624999013917	0.22174842318716	0.130597619387525	0.253175895498274
"GSM3374371_non"	0.145586918277026	1.79578952906982e-13	0.096702433112561	0.0614068202485662	0.114021100411827	0.184731249932579
"GSM3374372_non"	0.182057597420952	0.000204135344951875	0.0876785920168498	0.115216534746634	0.0864233927126905	0.229407354695211
"GSM3374373_non"	0.149406769749433	9.32554224133501e-15	9.32554224133501e-15	0.10600022074362	0.0606716923316535	0.05021032335947
"GSM3374374_non"	0.162206020293803	1.16551496022769e-14	0.0407647448892916	0.25966695966765	0.190039670750235	4.13561333903742e-11
"GSM3374375_non"	0.241050853451942	0.066730369202253	1.2318779587676e-14	0.0582552472936581	0.312597209369681	1.2318779587676e-14
"GSM3374376_non"	0.116626747253444	9.33222541325161e-15	0.0879428113237518	0.0684428393596923	4.47387121616919e-06	0.355869901911523
"GSM3374377_non"	0.244197111582064	8.72920351348082e-15	8.72920351348082e-15	8.44937723426631e-12	0.0234577644061554	0.0960604967903334
"GSM3374378_non"	0.285141229266517	1.79885732606561e-09	0.108236574787798	0.106562763461441	0.192365847307569	0.0335069697380747
"GSM3374379_non"	0.259394452029402	1.06679087806724e-14	0.109080122605614	0.191974943790023	0.0466054082724308	0.0937714323756464
"GSM3374380_non"	0.169597022788053	0.037103269371728	0.128235044579031	0.36370462722895	0.010197676597512	0.0716115941268428
"GSM3374381_non"	0.0148434095548108	0.296114018005399	9.42422206572299e-15	9.42422206572299e-15	0.165720146655966	0.315421093594589
