"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"GSM3374350_response"	0.132829911805973	0.0589719654456322	0.10139297255376	0.0440874833040156	0.090378431965261	0.200195203197505	0.0461236869760477	0.195748750733435
"GSM3374352_response"	0.0931227922789675	0.246670239557263	0.0144977083106898	0.0883054887283479	0.151697957408363	0.127995193791699	0.0968124795818247	0.0199433583743433
"GSM3374356_response"	0.128034475536308	0.0540413202722342	0.0329977099726019	0.146106620560573	0.0901286186147221	0.169618719517937	0.0990661529418359	0.0901805479108052
"GSM3374362_response"	0.0441828784840932	1.13652237330986e-14	0.170753112422753	0.01305842764348	0.106296769139357	0.0469859026984855	0.0773750949041125	0.155232782375778
"GSM3374366_response"	0.0106935039010072	0.2847649317602	0.164550732833585	0.0229190646149447	0.107626220644624	0.0108878787183608	0.188129670979065	0.0113039197360213
"GSM3374368_response"	0.0347914069675292	0.0987846175756902	0.0536541252211429	0.0817772213281008	4.6585598778951e-08	0.0258320919770444	0.186049441958052	0.0848948422596002
"GSM3374369_response"	0.156355760840304	0.0535349302802766	0.0748278294350477	9.85456919744053e-15	0.0527362183409248	0.274537590588323	0.127092292705283	0.0911763931615136
"GSM3374370_response"	0.089852634808333	0.000612875814305541	0.00309047087783093	0.0289162378420347	0.0738184981071997	0.176117939228069	8.91126722752796e-15	0.0880406463549059
"GSM3374386_response"	0.000558571389491811	0.284499511755914	0.222602192547894	0.0857448062559309	0.0217670461699763	0.0125848741554197	0.181040965002805	0.0152151720020938
"GSM3374396_response"	0.00923286564005345	0.211675674216536	0.0156628928082595	0.112002634726374	0.0670460840720096	0.0466184658948477	0.0580892270048579	0.000668757831462959
"GSM3374401_response"	0.0384032320062881	0.0707478442495562	0.030509845028621	0.101826146171164	0.120197645786395	0.0763202813103685	0.0221090208117476	0.021076451412402
"GSM3374412_response"	0.0312845607399315	0.199064354342283	0.137138632453642	0.0712696201098516	0.03032213856274	0.034646484089931	0.0676344008261186	0.1017077224865
"GSM3374413_response"	0.0116576934221409	0.154453123480137	0.201797073125247	0.0710420458272908	0.0253057662329911	0.0140472174164447	0.0547476348636729	0.0532288286844771
"GSM3374414_response"	0.0894841101783534	0.000298587341423809	0.0414762335998954	4.21344657019345e-09	0.115076002382962	0.21005012964329	0.0245006972175209	0.156688003955991
"GSM3374415_response"	0.0360823668420662	1.27740524842487e-14	0.0300654123274269	0.0856594405424301	0.0448784933048702	0.0345286371868649	1.27740524842487e-14	0.0559518115641146
"GSM3374353_non"	0.060102234185047	0.184336457181856	9.14857066154007e-15	0.108239354486765	0.122465359130151	0.10830029181393	0.14634230132329	0.0808297157610958
"GSM3374354_non"	0.0865908416041884	0.045380965549096	0.256080151444709	0.0524331030375448	0.045688240102752	0.0898095275903603	0.12206527174826	0.21127057805766
"GSM3374355_non"	0.0339782224143398	0.373460324922161	0.0280173832746558	0.128539643959074	0.147166686280329	0.0676897227520978	0.11514769311665	0.0325707517775866
"GSM3374357_non"	0.154746293755866	0.045388784891264	0.00303444424641222	0.00266643944458374	0.1320490509522	0.139760763731856	9.10437593984518e-15	0.109922745860642
