"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"GSM3374350_response"	0.0840574658705128	0.0720842260141106	0.125664820290134	0.176108730301776	0.138008279315115
"GSM3374352_response"	0.0972300844459811	0.179544416297353	0.156423514633103	0.155952216684466	0.0626246784150225
"GSM3374356_response"	0.108822417589896	0.156197793343387	0.0305744596906506	0.105142518740538	0.14621656325832
"GSM3374362_response"	0.34554591662158	0.00585347916054173	0.0831932249494605	0.107620911552903	0.0402851437798789
"GSM3374366_response"	0.208049403516712	0.185768842448876	0.338537582242462	0.0366236027963049	0.0390023858589695
"GSM3374368_response"	0.211968534191568	0.0635046113714183	0.195340497428245	0.0730291809393838	0.0350180798591294
"GSM3374369_response"	0.183400579009102	0.0724585253570287	0.102668260365665	0.0587917606044129	0.138603687537099
"GSM3374370_response"	8.77302183790539e-15	8.77302183790539e-15	1.51796585080136e-14	0.013922052676392	0.0770341454436757
"GSM3374386_response"	0.0683676766500238	0.130103630437958	0.445786059101362	0.0368164669208072	7.40426647765266e-15
"GSM3374396_response"	0.0573347816728002	0.272340373052322	0.0896180409520978	1.58750356526613e-14	0.0187154363110867
"GSM3374401_response"	1.67509674693423e-14	0.183277864510988	0.0160365320362269	0.0785420332528597	0.0643816038365488
"GSM3374412_response"	0.0599265213496689	0.174442682936384	0.189351733157159	0.038517335163111	0.0353950605909039
"GSM3374413_response"	0.0222742334872311	0.0576755175435329	0.279545019684844	0.0263499744033495	0.0184277502255594
"GSM3374414_response"	0.112592912155881	5.92477067182697e-15	0.0174890411544318	0.122184873148416	0.129226475628947
"GSM3374415_response"	1.42300400278042e-14	0.0568058904290674	0.00141562251476102	1.42300400278042e-14	0.0453756987671585
"GSM3374353_non"	0.225382976337502	0.163665635707743	0.0998701487448369	0.0667481384097425	0.144078849442051
"GSM3374354_non"	0.12403963536105	0.112857184614555	0.13350773983606	0.0982452866648495	0.0752183288931296
"GSM3374355_non"	0.0902970397479891	0.256700412700498	0.231145418778552	0.0373622209893792	0.0359905072736537
"GSM3374357_non"	0.0172671132813488	0.0762880339953279	0.0156006089149291	0.0563312381844554	0.152224856114743
"GSM3374358_non"	0.0930556843962222	0.126465465580221	0.141843188729786	0.0996396671064466	0.0679294182064392
"GSM3374359_non"	0.046158255819701	0.109703960950816	9.01482989868164e-15	0.109198368905445	0.103920522203028
"GSM3374360_non"	1.50307918471937e-14	0.0506274048477255	0.110713217210238	0.0821951294641031	0.120588106908718
"GSM3374361_non"	0.0832230426110672	0.0428204641999812	1.61489026539124e-10	0.151253428303193	0.130736223722385
"GSM3374363_non"	0.284544335515712	0.113521017389047	0.0891764762854985	0.160574381977048	0.0908388156614899
"GSM3374364_non"	0.00521423398549362	0.00788352552014743	0.143942325978485	0.0999271742899004	0.125487653039289
"GSM3374365_non"	0.15491107655862	0.0435441166275589	0.0418831527640748	0.135316715841903	0.13537342916643
"GSM3374367_non"	1.60344304609501e-14	0.00335235750601789	0.0416636779705073	0.00135525791223248	0.0705815914008545
"GSM3374371_non"	0.12101996643679	9.93555146724397e-15	0.0511469171589442	0.142118985642415	0.185416236693667
"GSM3374372_non"	0.0124052915988735	0.0170146850272301	0.0051547220567218	0.0948495237189496	0.256211489328832
"GSM3374373_non"	0.0415476775948826	0.0218114474080327	0.0127028593993343	0.00237148708961738	0.167532122433871
"GSM3374374_non"	0.0374183589283124	0.00676147006485881	0.000612007616937003	0.0429539059327772	0.161221778688625
"GSM3374375_non"	0.0744842566433574	9.23774822394691e-15	0.0603926976308676	0.0565148237175051	0.0581177789106961
"GSM3374376_non"	0.0592132307986007	0.0109351483358185	0.0582468473226646	0.122240917055398	0.169063576790123
"GSM3374377_non"	0.0686940828556315	0.0378261251499885	6.54797231774367e-15	0.0386925571497699	0.11549933160262
"GSM3374378_non"	0.0921616253149923	0.00807113800857655	0.126634971186908	0.196110551732422	0.144824475573107
"GSM3374379_non"	2.36732809527511e-12	1.27351697870363e-14	0.0314650923640083	0.134622897099619	0.13249313761056
"GSM3374380_non"	0.223160390066596	0.0100936295148403	0.0400661759869182	0.125811614517134	0.0806608139318427
"GSM3374381_non"	0.0450031136269969	0.194880838370949	0.0779712095935182	0.0652223851159271	0.0760947687661377
"GSM3374382_non"	0.0290908704131636	0.119120036453826	0.0812808814825779	0.0256112770603077	0.0200706444944319
"GSM3374384_non"	0.0690866367227125	0.0690725850182387	1.7196904560002e-09	9.65439097105819e-15	0.0763978659877978
"GSM3374387_non"	0.0563732415004326	0.0245457496127458	1.03780681170536e-14	0.0601342511537346	0.0392229685890515
"GSM3374388_non"	0.081464767153967	0.0263254037197455	0.407905863752036	0.0133316776543683	7.49480151575151e-15
"GSM3374392_non"	0.0080151431822883	1.25843426303842e-14	0.0555065633766017	0.0633863047604785	0.0897527965750416
