"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"GSM3374350_response"	0.0154146814421392	0.171440672986323	0.050488250239085	0.0736955458541144	0.118093829181555	0.0867644635920848	0.104207206203033	0.119552981056603	0.0868497707316209
"GSM3374352_response"	0.108411664769292	0.20892370203637	0.106959299290939	0.0678211894126553	0.182725895010066	0.0347738153998258	0.0310418256905338	0.101227340875828	0.0750662836071164
"GSM3374356_response"	0.0898880892746985	0.156989158956293	0.167234207540246	0.0276536529309224	0.110056072793565	0.0244255200701409	0.0673138081331741	0.186659283737885	0.0598520349552233
"GSM3374362_response"	7.31243892139292e-15	0.0582773370237891	0.34538109039849	7.31243892139292e-15	0.0128241322789225	0.124987581214716	0.0314438586804795	0.0925531239318924	0.0517463614728541
"GSM3374366_response"	0.156137033707591	0.0122873982018215	0.221352812316754	0.000126944005393929	0.157532089489015	0.197581006998453	6.38023401582453e-15	6.38023401582453e-15	0.0159818449685583
"GSM3374368_response"	0.178499396514026	7.14465231041241e-15	0.251249196877499	0.0127198377843783	0.0825562565938833	0.057804348117867	0.0364150479328442	0.0515289244227107	0.0298979992596168
"GSM3374369_response"	0.147579925409305	0.136801976726065	0.174017725965951	0.128237685191752	0.0435386034323085	0.0366260308159015	0.124314603811969	0.0102075888377239	0.0772965486627909
"GSM3374370_response"	6.52423998024191e-15	0.0427962273442041	6.52423998024191e-15	6.52423998024191e-15	0.0110627955842351	6.52423998024191e-15	0.0941898737324806	0.0481127144312798	0.115441801196116
"GSM3374386_response"	0.0986908078131675	0.033454491358859	0.0342792681685788	0.39414369087832	0.115978862367895	0.225810101007522	0.00181468676746803	0.0399546254258918	0.00421698441848585
"GSM3374396_response"	0.0665714055924963	0.0512768643588047	0.0801143198378051	1.00484491234995e-09	0.139282559905406	0.0234518915145681	1.03507355468701e-14	0.0843608273748412	0.0479664508435047
"GSM3374401_response"	0.0378201343727288	0.0530306951212031	1.13377450320792e-14	1.13377450320792e-14	0.0686433809008168	0.00647250324604381	0.085609485604179	0.0700264332683993	0.0964628207636501
"GSM3374412_response"	0.130500893861447	8.9175640352862e-15	2.78339842509484e-06	0.0999077065317846	0.146713975587122	0.18427876734823	0.0903975451530048	0.037467069431455	0.0549029050815138
"GSM3374413_response"	0.0958397720265502	8.68974488535359e-15	0.0469229416305215	0.0568561535381883	0.113111575341331	0.23808980585358	0.0310687103476568	0.0343418114921267	0.0621352264039681
"GSM3374414_response"	0.0349334633669834	6.50488821350813e-15	0.0698467518265197	0.0725092969629517	0.00263070136601032	0.0328796764483047	0.219941811223646	0.0616458326689004	0.159667114191043
"GSM3374415_response"	0.00104861189539633	0.00437192687654367	0.00196927909947087	0.0222826518449929	0.00235421420200789	0.0355684861501988	0.0773928220316044	0.228229756570186	0.0403664076286772
"GSM3374353_non"	0.158736067108815	0.227114572134323	0.107472589661627	0.0357298367200372	0.129846520724463	0.0220649650058354	0.00532032001620902	0.0921511043566013	0.0775641078205437
"GSM3374354_non"	0.0223618131017358	0.110318839645676	0.208456939414855	0.198647451516088	0.0731472938031741	0.127628487244656	0.125782204841307	0.0591500218425057	0.0431574750821074
