"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"GSM3374350_response"	0.0586016313528173	0.268552059625447	0.181288598936821	0.197239456275999	0.211682007883415
"GSM3374352_response"	0.309293241318251	0.170289768053625	0.186334893843434	0.163452438756174	0.165559874040307
"GSM3374356_response"	0.0924307340027164	0.231443254918984	0.115070138545073	0.216281417998345	0.233318498569641
"GSM3374362_response"	0.00654873133586452	0.246693387043242	0.0672448298494899	0.130167753179547	0.0945283097607369
"GSM3374366_response"	0.248568520048097	0.430167434330193	0.230483940157846	0.0105942712939098	0.0358319298317311
"GSM3374368_response"	0.0904127471086953	0.531452844880959	0.126536977736106	0.0290718359593415	0.0320660147884619
"GSM3374369_response"	0.0956829778193946	0.0487025762323116	0.257250411523468	0.235281320115861	0.306276017624188
"GSM3374370_response"	0.0181182004435799	1.01500258708039e-14	0.0373542192710121	0.319048757175074	0.234696997650838
"GSM3374386_response"	0.238730296805404	0.588391469460166	0.134642709769121	0.012136678727278	0.0186753813943622
"GSM3374396_response"	0.294787594070533	0.292257345204711	0.0515013156159658	0.0662902678523826	0.114754868446935
"GSM3374401_response"	0.0657822983654918	0.203407085540251	0.0716859090214112	0.14872527949097	0.128075274924987
"GSM3374412_response"	0.178930944050561	0.521325899398941	0.132876778386505	0.061531786608158	0.0748680182230872
"GSM3374413_response"	0.198832366593722	0.545132588272653	0.0321520479145404	0.0553047365136053	0.0956167617387305
"GSM3374414_response"	0.0089597965044269	0.00738066674793474	0.11713677015033	0.366069803603024	0.254218690139242
"GSM3374415_response"	0.033224385888603	0.109582841352245	1.38529118638556e-14	0.182399350998109	0.0798762901317919
"GSM3374353_non"	0.23878091972612	0.107138495141083	0.249917495216391	0.200369257115993	0.157832639921051
"GSM3374354_non"	0.0556802814372862	0.398696816356396	0.221467663781154	0.115014992691164	0.167004977588301
"GSM3374355_non"	0.442659326265364	0.156891246474324	0.174906008955961	0.134761417068298	0.0907820012360457
"GSM3374357_non"	0.102644641162301	9.5150305112477e-15	0.0375151166673592	0.294958321472107	0.344276296447632
"GSM3374358_non"	0.282534964556705	0.20818560586991	0.173895995926817	0.0995181169331461	0.178702926994521
"GSM3374359_non"	0.088471772121069	1.03659810808626e-14	0.0427665260897322	0.284811318042451	0.289089436637738
"GSM3374360_non"	0.0537458900507965	0.144967336340089	0.0167113597398128	0.217841097533816	0.150673706450563
"GSM3374361_non"	0.0446660414967995	5.94083064513328e-15	0.0748996920527121	0.313173796475686	0.396082880126333
"GSM3374363_non"	0.230429280989976	0.0187321400581958	0.364126857123865	0.146967461568363	0.141176396127225
"GSM3374364_non"	0.0906031733598575	0.185073470365655	0.0790659357258968	0.151151319771019	0.217619379345249
"GSM3374365_non"	0.0611717828346644	7.54268908905631e-15	0.185864909180562	0.236624776328112	0.378732645342699
"GSM3374367_non"	0.00703496471699562	0.257111083823952	2.78364550974314e-05	0.131808584995768	0.0228736004707125
"GSM3374371_non"	0.0568231335343609	4.07479258487157e-10	0.0752376581214739	0.342389581239682	0.275094121149271
"GSM3374372_non"	0.0707967043172902	0.00135952467237315	0.0587362588526245	0.340502193021295	0.326419878903461
"GSM3374373_non"	0.0376313693636708	8.90079371876973e-15	0.0262732542452501	0.349199837048644	0.28836515905141
"GSM3374374_non"	0.0593426736732729	0.00196362987631117	0.0591866948846561	0.336416525778918	0.231799413720274
"GSM3374375_non"	0.0687566378542799	0.000287392091215538	0.163954820828672	0.231697696395915	0.37473305448064
"GSM3374376_non"	0.080441425278458	0.0946579715515108	0.0543350704833275	0.304128511903719	0.251119632144542
"GSM3374377_non"	0.0303077841037148	7.71800414815634e-15	0.0622484252419447	0.333770841133401	0.35033380716412
"GSM3374378_non"	0.0647838819992885	0.0182484306834975	0.277097702627616	0.18946108424497	0.297354901028093
"GSM3374379_non"	0.0335079357654282	0.0790474715535629	0.024327552953377	0.303876929694134	0.212025001708805
"GSM3374380_non"	0.0476807338425668	0.0857837333855542	0.251905030895292	0.176823167454456	0.292650711001981
"GSM3374381_non"	0.20533166297764	0.306322539625495	3.13399375592853e-07	0.141211003297264	0.0496202985084402
"GSM3374382_non"	0.15294745740489	0.553671802428285	0.0117599254427865	0.0241355066710178	0.0244216785811758
"GSM3374384_non"	0.0183164585957986	1.02790842984472e-08	0.0285919638008977	0.332116025970471	0.179818543076297
"GSM3374387_non"	1.03061051397135e-14	0.194871142643572	0.0418671383538741	0.156968280968432	0.123944822517187
"GSM3374388_non"	0.0431352961288608	0.772385714247662	0.107885483510932	0.0280403517473896	0.0251490414137505
