"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"GSM3374350_response"	0.00464574256617951	0.0734875900626811	0.0465831599579451	0.0352300510246908	0.0759933732213345	0.0250661606189499	0.126135806411017	0.101109348320373
"GSM3374352_response"	0.101693350318263	0.0809747690552901	0.044882101727912	0.0535777203041671	0.131412816410366	0.0368190318327245	0.0441190155999371	0.00145392361775701
"GSM3374356_response"	0.0514644790708724	0.055324728684126	0.0414658009842476	0.0870973227237091	0.0748112812779482	0.0685667923002863	0.115874449783796	0.0366971280445194
"GSM3374362_response"	0.094295654763057	0.0028832601957322	0.252526076425598	0.00312442871914632	0.0253908093563939	1.18818011578084e-14	0.0313923455942794	0.046270048753649
"GSM3374366_response"	0.258014042704477	0.0291970217016456	0.0518252443594147	0.0369393878726703	0.191452676675029	0.0103748650205129	0.0219171725104708	0.0813203971430353
"GSM3374368_response"	0.205768014969273	0.0297643779054968	0.107809686316036	0.000712079070028187	0.117934672745083	0.0327296160460523	0.0414723167974095	0.0987041996902178
"GSM3374369_response"	0.174813931137121	0.0734509863541264	0.0380366180948621	0.0342538994498293	0.0389027244972131	0.0286240427722493	0.0543001255825369	0.0221536135463571
"GSM3374370_response"	9.55263324229155e-15	9.55263324229155e-15	0.0253091893958902	0.032991498879214	0.0115113387261337	0.0140768801363294	0.0700160228618334	9.55263324229155e-15
"GSM3374386_response"	0.0532894073281758	0.272706352607502	0.0165333192277683	0.0187740908246364	0.197037474043251	6.28568772050106e-15	0.0528706217250221	0.17616878048284
"GSM3374396_response"	0.0650978831943919	0.00860939863124916	0.0330589330483605	0.03804986555622	0.111719208878664	6.39067711493619e-11	0.000215077572634948	0.0200384166941438
"GSM3374401_response"	0.0284565749539915	1.65431915799596e-14	0.000120410266792995	0.0511651187221209	0.0869885699653799	1.65431915799596e-14	0.0390951687628207	0.0278689914655282
"GSM3374412_response"	0.103596322732846	0.0220058827469586	0.00493315763865381	0.0361530516745949	0.1333866083964	0.0732050890239999	0.0736809431737105	0.102729820482559
"GSM3374413_response"	0.0393298167991427	0.0427925239099931	0.00604889455477037	0.0233375195234397	0.120471030696484	0.016044903308006	0.0270683881842569	0.152972829264205
"GSM3374414_response"	0.0595795738003738	0.0217207830173111	0.0918402446088659	0.0656079381334939	7.10080031533236e-15	0.0262255680442938	0.051636187917798	0.0305548335597414
"GSM3374415_response"	1.53502897445394e-14	1.53502897445394e-14	0.00872170538601292	0.00276569972543176	0.0265729210886199	0.0312184475620687	0.054997153509674	0.0256965917155142
"GSM3374353_non"	0.188481988166762	0.044693309887946	0.00566841751235778	0.0493609452037528	0.0918616508945698	0.0722530226640562	0.0267249400182647	0.0095064700601747
"GSM3374354_non"	0.0390210892379367	0.144435586323346	0.0998870967877584	0.0373016460873321	0.0244218101107461	0.0535417515843187	0.0689519659357908	0.124278644799604
"GSM3374355_non"	0.0928951765748114	0.0872364413259699	9.24150105430469e-15	0.0488790194413911	0.250098465244863	0.100786915816311	0.0259416568501261	0.0105949192694111
"GSM3374357_non"	0.00761446674036825	0.00197169126920051	8.62667278051754e-15	0.0530382992831988	0.0121690943181907	0.0178874601989062	0.0323182305939222	0.00826339528044904
"GSM3374358_non"	0.0166081740307693	0.0226106383466754	0.0310079498209209	0.0563732558196286	0.185939189661309	0.0102369228739234	0.04774462838518	0.0391616130884086
"GSM3374359_non"	3.67821459888162e-05	8.47094185049312e-15	0.00702156055183646	0.0650414387200763	0.0218896076574075	0.0510420299856672	0.0251573815205263	0.00226292864512006
"GSM3374360_non"	1.30895993102238e-14	1.30895993102238e-14	0.0193214546178701	0.0552052644740366	0.0699565693834322	0.00829723183851316	0.0956022461505434	0.0127297648951617
"GSM3374361_non"	0.026708100502388	5.27155244097455e-15	0.0472333601443973	0.109913362787079	0.00879829889725571	0.0486375007547044	0.053797121003124	0.00325179261766618
"GSM3374363_non"	0.397646100937072	7.37082043624424e-12	0.013851421236197	0.0242089715704634	0.0485585226807557	0.0625509653526221	0.00350250927908266	0.00112785669117295
"GSM3374364_non"	0.0287241594625474	0.0155051979574097	1.27891596129271e-14	0.11055404616077	0.0641188099861236	0.0291100834292513	0.133673257037952	0.0607098435696776
"GSM3374365_non"	0.109297741464466	0.0135740265149428	0.0883333832575711	0.0615549490240812	0.0184652776714581	0.0334796205830623	0.062258694662657	0.00278140533580351
"GSM3374367_non"	0.00421761531331899	1.51203662300187e-14	0.0237179209808628	0.000682882400594467	0.00409844930677259	0.0183322507441464	0.0643450267218291	0.0764276524545363
"GSM3374371_non"	0.0142202769128698	8.40994009815022e-15	0.0771901822276978	0.0313071616784827	0.0119586722908544	0.0852340950816906	0.064962579714448	0.0215355745501061
"GSM3374372_non"	0.00905828162867091	9.20490130639562e-15	0.040930098088149	0.0468427132941919	0.0215282211634798	0.02932161456003	0.0238612085316945	0.0245693791690825
"GSM3374373_non"	0.00107061566581618	0.00269837088838898	0.0228764939672774	0.0162033410025751	0.00343345039611903	0.0236598728290379	0.0219921068287379	7.31874542727064e-15
"GSM3374374_non"	0.0105557332030212	1.07295418368425e-14	0.0398845445220756	0.043310603614014	1.07295418368425e-14	0.0260944902593204	0.0304182889978033	0.0331918701644191
"GSM3374375_non"	0.125546030808222	1.17322104960776e-14	0.0410766591942234	0.0746012800567949	0.0140565501139026	0.032316106152387	0.000713984049832465	0.019484593053309
"GSM3374376_non"	8.9346555021534e-15	0.0161075843119797	0.0604182603161792	0.0504993969889656	0.0253229205694763	0.0206428601068654	0.0907979279943775	0.0728133701862819
"GSM3374377_non"	0.0372537362200999	6.55502614596042e-15	0.0318324883924458	0.0395141055923785	6.55502614596042e-15	0.0132956016628102	0.0163725175465803	6.55502614596042e-15
"GSM3374378_non"	0.14039678748886	0.00848665364734916	0.0349957329515606	0.0262757642325773	0.03713116822406	0.0806966589657049	0.056004518705379	0.0298908974401988
"GSM3374379_non"	0.0187862141827297	0.00919393501959547	1.20025627478954e-14	0.0740821567220377	0.0159022110773131	0.00725286283313417	0.105978338881077	0.0638453406464876
"GSM3374380_non"	0.150140713849244	0.0515325555633983	0.0915998806998105	0.0529713223568765	0.0209035323508404	0.0190553138716833	0.107686151120968	0.0660888993291876
"GSM3374381_non"	0.013030086405022	1.22611785790764e-14	0.026450425374361	0.00399746582820049	0.150153737216733	1.22611785790764e-14	0.00236667937580354	0.0196195245160408
"GSM3374382_non"	0.0505008893075695	1.18899697736434e-14	0.0229737200539308	0.00205002736224668	0.122144831996091	0.0308012466379329	0.0837935162535569	0.0574033397899019
"GSM3374384_non"	4.06295660740878e-11	9.60672861694888e-15	0.016415344406141	0.0571036063758823	0.0249938006379954	0.0265075578799168	0.0180330843338177	9.60672861694888e-15
"GSM3374387_non"	0.05239695118366	0.00363285575795516	1.32864332802102e-14	0.000927352054376571	0.0443765473580115	0.00208588531352235	0.063333360457597	0.0266496019370211
"GSM3374388_non"	0.00798595264899446	0.19098980091494	0.00601238404493086	0.0131516136018392	0.119744335529073	3.09821533412488e-08	0.0843852331078181	0.278779594552218
"GSM3374392_non"	0.0109719207252556	1.49877844445059e-14	0.0164783412289537	0.104639997443927	0.00817719528975613	1.49877844445059e-14	0.0584490428429128	0.0386070353104442
"GSM3374394_non"	0.0280320590289594	1.44549503437048e-14	0.025862182514159	0.0547994306075856	0.0727414201941566	0.0117638060013204	0.0526142130880701	1.44549503437048e-14
"GSM3374398_non"	0.000405211839517645	1.5975228537798e-14	0.0333104777227638	0.00549117841609238	0.0271886875882328	0.00121210531425268	0.00189353335009938	1.5975228537798e-14
"GSM3374400_non"	0.0492978042905219	1.43772588525404e-14	0.0220578606268777	0.0705281078915858	0.019610008467928	0.0218161120690772	0.101061332051133	0.0226256055626023
"GSM3374402_non"	1.11955809551352e-14	0.00906080631272157	0.0660956575420207	0.0342403793121505	0.00284209624766033	0.00678983984959292	0.0345982120268141	0.00321038964966709
"GSM3374403_non"	1.35270006537918e-14	0.00216341006025547	0.0713436387535965	0.0409617097495299	0.0056432476991162	0.013189982243362	0.034646859999557	0.0104422529786777
"GSM3374404_non"	0.0542007120791509	1.33861621470999e-14	0.0306461967695783	0.0352944050024164	0.0102082324396756	0.0365609362378805	1.33861621470999e-14	0.0115764289477579
"GSM3374405_non"	0.246321453779864	0.0334757104311531	3.22222943583569e-07	0.0180255311923681	0.11571379900219	0.0376373913970728	0.00568056585376312	0.0668229209605068
"GSM3374406_non"	0.13554154092868	0.00264764838876203	1.24865534147357e-14	1.24865534147357e-14	0.102151135386595	0.0624269149189574	0.0073585925999132	0.0146542144033913
"GSM3374407_non"	0.2099928494408	0.0139765596792673	0.0418295115928076	1.42518307537036e-14	0.0509282726036057	0.0498009015365562	1.42518307537036e-14	0.0208872056363863
