"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"GSM3374350_response"	0.0475938269973741	0.0237716531240295	0.0824318777424898	0.0373302651108964	0.0992861585350124	0.0455610899541339	1.02212371090685e-14
"GSM3374352_response"	0.0389193035748258	0.0795341530612514	0.0538880450012128	0.0801451039030199	0.120659047691754	0.0322760715030021	7.98675074525908e-15
"GSM3374356_response"	0.100165357750641	0.0573750316338432	0.0690097567570606	5.5720459578211e-10	0.0958714703577837	0.0681099274122266	0.0204448716851732
"GSM3374362_response"	0.248844928220397	1.14090044573071e-14	0.0181620773051429	1.14090044573071e-14	0.0348755647565572	0.0482781320530649	0.0137992888771085
"GSM3374366_response"	0.0971471396024895	0.164997777599573	0.00518788736535743	0.183550220110065	0.0365379902737427	0.0358238436714564	0.0728341894436056
"GSM3374368_response"	0.11015179046533	0.162367388138309	1.18542734105843e-14	0.107089507350998	0.0137131839790146	0.0697169975728282	0.028370434891431
"GSM3374369_response"	0.132421042100437	0.10234554059339	0.112360251440938	0.0634022301360682	0.0674131953172119	0.00532935510549427	0.055731010470672
"GSM3374370_response"	0.0224366318216234	0.0204039742042568	0.068827175150965	1.02550698263206e-14	0.061674039769965	0.101184136406963	0.0946622943615218
"GSM3374386_response"	0.00394351786753135	0.0673147833333749	0.0320339416680241	0.237365324136134	0.0024494044067651	0.0610172641386334	0.00579625770701592
"GSM3374396_response"	0.0517692288380118	0.0911794919491941	0.0400722718956274	0.135846863830447	0.0399499947616035	0.0994746048005367	0.0103726839650715
"GSM3374401_response"	1.6919789271359e-14	0.011203860620519	0.0746907336038788	0.0657752226640004	0.0293751598779419	0.0627792454411222	0.0209129064330085
"GSM3374412_response"	0.024640990237577	0.0885452245630083	0.00159387517037599	0.235357749767147	0.025154364270986	0.0805362420104167	0.0887544035351999
"GSM3374413_response"	1.32421598464909e-14	0.0955399151643764	1.32421598464909e-14	0.142249075081248	0.0324985007164958	0.0505267788639623	0.0833959093875187
"GSM3374414_response"	0.0591217124931434	0.0470556080834214	0.0427138011524378	7.08214306650024e-15	0.100997484156732	0.0273778350775207	0.0684155991012942
"GSM3374415_response"	0.023943237708139	1.29785662810382e-14	0.00797759074381086	0.0263026406780395	1.29785662810382e-14	0.146132499379654	0.0492543318797116
"GSM3374353_non"	0.0605686881972754	0.148312740467592	0.0530126982539638	0.021632011612982	0.094745543108985	0.0402000868228088	4.85480588463027e-09
"GSM3374354_non"	0.107159593811676	0.0215003005200583	0.0521897722071436	0.027569636805541	0.101537183614049	0.0242517311445159	0.00980176292089839
