"ID"	"S01"	"S02"	"S03"
"GSM3374350_response"	0.112264210020404	0.235390014976035	0.284430192455923
"GSM3374352_response"	0.169833389526488	0.495468926105584	0.1122900351357
"GSM3374356_response"	0.10894167319868	0.285838566492602	0.247279001850254
"GSM3374362_response"	0.170819302743066	1.22510154205148e-14	0.248266518529381
"GSM3374366_response"	0.0331472685512145	0.43917519334679	0.23997920525397
"GSM3374368_response"	0.00160799627915287	0.167250049031624	0.371292818097761
"GSM3374369_response"	0.323734873208206	0.13880076412292	0.282697525108096
"GSM3374370_response"	0.189432788269402	0.0343681010748888	0.0188826885514635
"GSM3374386_response"	0.0178913582620005	0.264738983590246	0.643885071896965
"GSM3374396_response"	0.0981247222764915	0.27635398577093	0.0975640707294873
"GSM3374401_response"	0.0729776820761322	0.207317388716157	0.00879711477611869
"GSM3374412_response"	0.107493742141739	0.207663050622879	0.407376492982793
"GSM3374413_response"	0.106280011493738	0.260847164547004	0.333227309645795
"GSM3374414_response"	0.267551567923216	0.105448561231628	0.165711048300943
"GSM3374415_response"	0.116873249597074	0.0681819119089516	0.124203916414753
"GSM3374353_non"	0.159020466266808	0.455894705595935	0.11815763530453
"GSM3374354_non"	0.12448274158529	0.160252006620135	0.597219361611545
"GSM3374355_non"	0.0566030367387036	0.599536988334218	0.0842489686944607
"GSM3374357_non"	0.264876117770919	0.178862287917216	0.0445254265250075
"GSM3374358_non"	0.151153981065032	0.391812768418096	0.130419311110825
"GSM3374359_non"	0.283120848832169	0.0486715793472842	0.0155648452240956
"GSM3374360_non"	0.0604875257531284	0.0648855554051919	0.197315576273496
"GSM3374361_non"	0.390140829172438	0.123186907780359	0.127170740305212
"GSM3374363_non"	0.302911877380224	0.237273461870252	0.137498720840357
"GSM3374364_non"	0.14592035174127	0.146833216214054	0.277739087888841
"GSM3374365_non"	0.391040865620484	0.113676480255439	0.111733359682031
"GSM3374367_non"	0.0230837896543965	1.41807129979028e-14	0.0687269506408622
"GSM3374371_non"	0.248175767319824	5.40463638178186e-12	0.159292111641851
"GSM3374372_non"	0.320897777202855	0.134551145353437	0.115776961245896
"GSM3374373_non"	0.327626976254891	0.0586283965661596	0.0581839639835633
"GSM3374374_non"	0.298492151570241	0.0292582252978547	0.0752915934892835
"GSM3374375_non"	0.299929044548802	0.10226677180426	0.0399879858252794
"GSM3374376_non"	0.265739115259076	0.0703924032487071	0.269964938003414
"GSM3374377_non"	0.420488105651841	0.0782095624645059	0.0318810047373766
"GSM3374378_non"	0.143424027770982	0.190660684050068	0.156549486941287
"GSM3374379_non"	0.0624450079997683	0.0458654168500772	0.24427495315246
"GSM3374380_non"	0.205875335331557	0.173952550147256	0.305847160562558
"GSM3374381_non"	0.00875525128119395	0.271061949369903	0.085221696370966
"GSM3374382_non"	1.03740258796243e-14	0.198523899372716	0.201548358755377
"GSM3374384_non"	0.198300027933745	0.0495158167979995	0.020321906203914
"GSM3374387_non"	0.0260351108178377	0.073793877096543	0.119732711029443
"GSM3374388_non"	7.21274144073582e-15	0.148696335317108	0.654287548443947
"GSM3374392_non"	0.221904782073913	0.0374483049602082	0.118779285330643
"GSM3374394_non"	0.0591713161531251	0.295770378822273	0.0280309920309661
"GSM3374398_non"	1.30844417042738e-14	0.0303421897214879	0.0493201077653277
"GSM3374400_non"	0.191318051666996	0.109656676906503	0.147903504094933
"GSM3374402_non"	0.32477520736302	0.0633559489519864	0.215101960625779
"GSM3374403_non"	0.306158723706573	0.102147430123267	0.165010461359484
"GSM3374404_non"	0.111221797067666	0.0975312102297133	0.027896201517828
"GSM3374405_non"	0.223831259705572	0.284002059384378	0.204017909440836
"GSM3374406_non"	0.154412731116045	0.331416147094771	0.0671197334182301
"GSM3374407_non"	0.179296079687585	0.135876964574524	0.124264130581963
"GSM3374408_non"	0.102940076859898	0.132672862359423	0.613266742716882
"GSM3374409_non"	0.23560102211627	0.107251529080758	0.0861530672873341
"GSM3374410_non"	0.257286422657594	0.233243085460368	0.311357726847003
"GSM3374411_non"	0.17663148727952	0.358559409497735	0.027854760380321
