"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"GSM3374350_response"	0.0332030947796358	0.047591615742526	0.064931487728955	0.0810922205100055	0.0441638692873704	0.107089937614926
"GSM3374352_response"	0.0893273533174527	0.0665819004236047	0.182595714611911	0.191754964036051	0.11439002327383	0.0485535471398484
"GSM3374356_response"	0.033835024340785	0.0579689077512307	0.0870064131696563	0.151707261403296	0.0838497795153345	0.04680543805572
"GSM3374362_response"	0.0353832915355232	0.147527110326138	0.0479379913455998	0.00595469845526174	1.34633893494335e-14	0.141932891572357
"GSM3374366_response"	0.163649000808159	0.108918348643033	0.036475693222384	0.138632479113043	0.139297273942615	0.0238703940938167
"GSM3374368_response"	0.115569526176581	0.213601788161873	0.00960292894016126	0.0834185728425104	0.139243549130247	0.0478867590952713
"GSM3374369_response"	0.141938236453594	0.126111117016837	0.110000491084026	0.0839316861211326	0.042355799358007	0.0171441185203588
"GSM3374370_response"	0.00416848087121986	0.0165414132863154	0.0753135896089345	0.0228890075902813	9.27795359963888e-15	0.059212478860701
"GSM3374386_response"	7.1351829756436e-15	0.193079573804656	0.00115982569203581	0.00960765053532321	3.11318695381629e-08	0.019142174009833
"GSM3374396_response"	0.0813180917522513	0.0261535430770374	0.0274343952986582	0.180535999644979	0.189299558204639	0.0628748134806761
"GSM3374401_response"	0.0697479592405446	0.011953979490353	0.0598924386153257	0.194916572286445	0.101520280769522	0.0412474777245108
"GSM3374412_response"	0.142900246497628	2.25059678859969e-09	0.0494492345548519	0.051340455291625	0.105188132590463	0.0776225849818712
"GSM3374413_response"	0.0775416921582026	0.00827298932074515	0.0613115501062484	0.093546040908778	0.21698399835269	0.0220953493533151
"GSM3374414_response"	8.83406174029264e-15	0.0977611673651146	0.0540888353852852	8.83406174029264e-15	0.0339283495518482	0.096009429243319
"GSM3374415_response"	1.62832292902709e-14	0.0288180297457449	0.0286033941518926	0.0320844568041641	0.115220944088453	0.0783235949853967
"GSM3374353_non"	0.155517017477369	0.0528548671903876	0.146585459058228	0.182297077152118	0.0763278444679203	0.0596468042538146
"GSM3374354_non"	0.00172518171561826	0.204831984376726	0.0614397216727796	0.020289518588963	9.45990685561453e-15	0.0169120100522162
"GSM3374355_non"	0.063242166107916	0.0647186648780575	0.161352129128676	0.18524929534139	0.148678567520192	0.0708529116537361
"GSM3374357_non"	0.0262115181869708	0.00351472770131798	0.0931869516843012	0.167994158857345	0.0287470749152932	0.0285336872672198
"GSM3374358_non"	0.0367239141574252	0.0164917226564013	0.0864918893848746	0.213382537713739	0.0894437334954486	0.0332725874621605
"GSM3374359_non"	0.047736906745269	7.50996303727909e-15	0.0778452252480911	0.236945780178782	0.0869588998490762	0.0438207257227429
"GSM3374360_non"	0.000652098212343957	0.0212903370999359	0.0495817642805889	0.0484823045014877	0.0112486367413824	0.151763760118742
"GSM3374361_non"	0.034221174741556	0.053511149420726	0.124658543776731	0.0462490989003162	6.23370767993373e-15	0.000184512254643927
"GSM3374363_non"	0.235177803819385	0.103128821670971	0.0708377325236144	0.128354408449147	0.0764672488563212	0.0237123159261729
"GSM3374364_non"	0.00684023866443518	1.29390988578222e-14	0.085110141002	0.0290057481178082	1.29390988578222e-14	0.0732901438907984
"GSM3374365_non"	0.12927958661716	0.0352072745819252	0.0910207153768274	0.135444409686772	0.0118216475888179	1.12123113867457e-13
"GSM3374367_non"	0.0196151174015481	0.0269326378966042	0.0320068447716072	0.077431040605336	0.0903826780477235	0.128060797144634
"GSM3374371_non"	9.41522393353854e-15	0.0349974783805014	0.0861040874255762	0.0506457589381653	9.41522393353854e-15	0.124696476859461
"GSM3374372_non"	1.07093011433156e-14	0.0614149873614108	0.0762588621953154	0.0164263204516141	0.0636450797622426	0.0664877367459612
"GSM3374373_non"	0.00215393474962313	0.0265504777299466	0.101337004437012	0.0105684322505981	9.52977205848848e-15	0.106953046667947
"GSM3374374_non"	0.0355173473321826	0.0373558657807922	0.0718610438032908	0.0352590992633993	1.28779507469746e-14	0.0795388939039981
"GSM3374375_non"	0.0996928030020937	0.0344253620324311	0.0954908928530746	0.0964851975945471	0.0277782570576497	0.0132037591501142
"GSM3374376_non"	0.00487627329867278	0.0252687193554283	0.0716746958233922	0.0173423026555111	0.00311881354398366	0.027313036829137
"GSM3374377_non"	0.079706115953152	0.00580474258809268	0.105784491362341	0.0383876271742933	7.67723995776184e-15	0.0452753391993152
"GSM3374378_non"	0.11940755657223	0.0802756855980284	0.0459747318439606	0.0430183394786795	0.0201760962830011	0.0957312906725244
"GSM3374379_non"	0.00837866520888312	0.00928318687483579	0.0589678532504295	0.0404931667903463	1.22675945693708e-14	0.0789662134225893
"GSM3374380_non"	0.105455142761728	0.167343617071348	0.0512845018564518	0.0453574072905673	0.00195881198640786	0.066987981066847
"GSM3374381_non"	0.0239400818768275	0.00309600359850717	0.100366371496688	0.121984885681946	0.222778975174892	0.0944865696322804
"GSM3374382_non"	0.054648054754129	0.0597945971305654	0.0375667884322524	0.0858528461613465	0.124791042296578	0.0688654106680897
"GSM3374384_non"	7.66789319586734e-15	0.0377653516234154	0.0667815088103942	0.0168991637556814	7.66789319586734e-15	0.186545937856222
"GSM3374387_non"	0.0901864430780919	0.0234159108713845	4.96268200180357e-05	0.0348427355304261	0.128642758201091	0.219847366587045
"GSM3374388_non"	9.04083746847287e-15	0.13560690151553	0.00252963589967871	0.00557816022041646	0.0047914304294925	0.0594244093726628
"GSM3374392_non"	1.25306987614948e-14	0.0364368295318012	0.0249961564622808	0.00447904897105207	1.25306987614948e-14	0.057691597369493
"GSM3374394_non"	0.0412723639218982	1.12660119057071e-14	0.0484139189461851	0.227056840185999	0.140006199135057	0.0629072370967691
"GSM3374398_non"	0.00844452553553322	0.0226690851022885	0.0176177639658679	0.00496682973481632	0.0298109017403958	0.113522063047835
"GSM3374400_non"	0.00919820962522816	0.0825322988053067	0.0104269707418232	0.0538673427095532	0.113204963555332	0.150203275283425
"GSM3374402_non"	1.25041657880375e-14	0.0300011592250673	0.0360786129738489	0.0628576290129774	0.0832509201281104	0.0170141468353206
"GSM3374403_non"	0.0027043921404109	0.0425651641747573	0.0871341286515176	0.0473134559059375	0.0160906797727714	0.0545172135099515
"GSM3374404_non"	0.1195565770659	0.0310398676328951	0.0518928055675048	0.0242540980195138	0.0585751099436837	0.142224999927033
"GSM3374405_non"	0.144467785822046	0.0593853921542017	0.0962895052604216	0.0887157982136976	0.165844430712123	0.00209340671738349
"GSM3374406_non"	0.173328858040566	0.0163299824668841	0.0454484131497988	0.083181067981887	0.284338632744481	0.0338411177507063
"GSM3374407_non"	0.148146319138845	0.0515885100189118	0.0598239992003892	0.124077502827047	0.214578187804879	0.0811160969582
